date,household_id,household_size,water_liters,day,month,day_of_week,is_weekend
2023-01-01,H001,5,276.24,1,1,6,1
2023-01-02,H001,5,262.63,2,1,0,0
2023-01-03,H001,5,235.47,3,1,1,0
2023-01-04,H001,5,245.24,4,1,2,0
2023-01-05,H001,5,222.86,5,1,3,0
2023-01-06,H001,5,241.33,6,1,4,0
2023-01-07,H001,5,276.96,7,1,5,1
2023-01-08,H001,5,261.38,8,1,6,1
2023-01-09,H001,5,248.97,9,1,0,0
2023-01-10,H001,5,246.36,10,1,1,0
2023-01-11,H001,5,248.79,11,1,2,0
2023-01-12,H001,5,243.65,12,1,3,0
2023-01-13,H001,5,242.65,13,1,4,0
2023-01-14,H001,5,272.8,14,1,5,1
2023-01-15,H001,5,277.15,15,1,6,1
2023-01-16,H001,5,240.57,16,1,0,0
2023-01-17,H001,5,251.74,17,1,1,0
2023-01-18,H001,5,249.86,18,1,2,0
2023-01-19,H001,5,264.14,19,1,3,0
2023-01-20,H001,5,249.51,20,1,4,0
2023-01-21,H001,5,269.81,21,1,5,1
2023-01-22,H001,5,299.33,22,1,6,1
2023-01-23,H001,5,227.17,23,1,0,0
2023-01-24,H001,5,265.16,24,1,1,0
2023-01-25,H001,5,261.32,25,1,2,0
2023-01-26,H001,5,238.99,26,1,3,0
2023-01-27,H001,5,266.0,27,1,4,0
2023-01-28,H001,5,282.41,28,1,5,1
2023-01-29,H001,5,273.54,29,1,6,1
2023-01-30,H001,5,239.21,30,1,0,0
2023-01-31,H001,5,260.14,31,1,1,0
2023-02-01,H001,5,245.11,1,2,2,0
2023-02-02,H001,5,237.25,2,2,3,0
2023-02-03,H001,5,249.76,3,2,4,0
2023-02-04,H001,5,274.1,4,2,5,1
2023-02-05,H001,5,280.67,5,2,6,1
2023-02-06,H001,5,252.52,6,2,0,0
2023-02-07,H001,5,269.25,7,2,1,0
2023-02-08,H001,5,263.43,8,2,2,0
2023-02-09,H001,5,253.19,9,2,3,0
2023-02-10,H001,5,244.56,10,2,4,0
2023-02-11,H001,5,295.47,11,2,5,1
2023-02-12,H001,5,290.84,12,2,6,1
2023-02-13,H001,5,287.9,13,2,0,0
2023-02-14,H001,5,259.37,14,2,1,0
2023-02-15,H001,5,276.09,15,2,2,0
2023-02-16,H001,5,262.1,16,2,3,0
