date,household_id,household_size,water_liters
2023-01-01,H001,5,276.24
2023-01-02,H001,5,262.63
2023-01-03,H001,5,235.47
2023-01-04,H001,5,245.24
2023-01-05,H001,5,222.86
2023-01-06,H001,5,241.33
2023-01-07,H001,5,276.96
2023-01-08,H001,5,261.38
2023-01-09,H001,5,248.97
2023-01-10,H001,5,246.36
2023-01-11,H001,5,248.79
2023-01-12,H001,5,243.65
2023-01-13,H001,5,242.65
2023-01-14,H001,5,272.8
2023-01-15,H001,5,277.15
2023-01-16,H001,5,240.57
2023-01-17,H001,5,251.74
2023-01-18,H001,5,249.86
2023-01-19,H001,5,264.14
2023-01-20,H001,5,249.51
2023-01-21,H001,5,269.81
2023-01-22,H001,5,299.33
2023-01-23,H001,5,227.17
2023-01-24,H001,5,265.16
2023-01-25,H001,5,261.32
2023-01-26,H001,5,238.99
2023-01-27,H001,5,266.0
2023-01-28,H001,5,282.41
2023-01-29,H001,5,273.54
2023-01-30,H001,5,239.21
2023-01-31,H001,5,260.14
2023-02-01,H001,5,245.11
2023-02-02,H001,5,237.25
2023-02-03,H001,5,249.76
2023-02-04,H001,5,274.1
2023-02-05,H001,5,280.67
2023-02-06,H001,5,252.52
2023-02-07,H001,5,269.25
2023-02-08,H001,5,263.43
2023-02-09,H001,5,253.19
2023-02-10,H001,5,244.56
2023-02-11,H001,5,295.47
2023-02-12,H001,5,290.84
2023-02-13,H001,5,287.9
2023-02-14,H001,5,259.37
2023-02-15,H001,5,276.09
2023-02-16,H001,5,262.1
2023-02-17,H001,5,257.78
2023-02-18,H001,5,264.5
2023-02-19,H001,5,291.46
2023-02-20,H001,5,247.14
2023-02-21,H001,5,251.27
2023-02-22,H001,5,257.06
2023-02-23,H001,5,254.44
2023-02-24,H001,5,239.14
2023-02-25,H001,5,274.3
2023-02-26,H001,5,295.18
2023-02-27,H001,5,266.47
2023-02-28,H001,5,266.85
2023-03-01,H001,5,260.69
2023-03-02,H001,5,266.68
2023-03-03,H001,5,261.76
2023-03-04,H001,5,282.87
2023-03-05,H001,5,298.99
2023-03-06,H001,5,256.27
2023-03-07,H001,5,250.09
2023-03-08,H001,5,273.98
2023-03-09,H001,5,274.34
2023-03-10,H001,5,240.75
2023-03-11,H001,5,293.36
2023-03-12,H001,5,261.27
2023-03-13,H001,5,272.74
2023-03-14,H001,5,248.79
2023-03-15,H001,5,269.48
2023-03-16,H001,5,252.77
2023-03-17,H001,5,264.21
2023-03-18,H001,5,269.74
2023-03-19,H001,5,283.0
2023-03-20,H001,5,259.68
2023-03-21,H001,5,271.98
2023-03-22,H001,5,282.03
2023-03-23,H001,5,267.51
2023-03-24,H001,5,264.15
2023-03-25,H001,5,274.33
2023-03-26,H001,5,269.68
2023-03-27,H001,5,262.95
2023-03-28,H001,5,262.32
2023-03-29,H001,5,268.0
2023-03-30,H001,5,269.18
2023-03-31,H001,5,265.06
2023-04-01,H001,5,269.2
2023-04-02,H001,5,297.51
2023-04-03,H001,5,259.46
2023-04-04,H001,5,249.25
2023-04-05,H001,5,255.72
2023-04-06,H001,5,243.89
2023-04-07,H001,5,256.53
2023-04-08,H001,5,295.7
2023-04-09,H001,5,282.72
2023-04-10,H001,5,250.22
2023-04-11,H001,5,257.42
2023-04-12,H001,5,266.0
2023-04-13,H001,5,244.23
2023-04-14,H001,5,248.14
2023-04-15,H001,5,287.86
2023-04-16,H001,5,271.28
2023-04-17,H001,5,283.52
2023-04-18,H001,5,258.27
2023-04-19,H001,5,249.15
2023-04-20,H001,5,250.14
2023-04-21,H001,5,254.07
2023-04-22,H001,5,278.92
2023-04-23,H001,5,260.56
2023-04-24,H001,5,274.75
2023-04-25,H001,5,259.3
2023-04-26,H001,5,259.06
2023-04-27,H001,5,269.09
2023-04-28,H001,5,246.51
2023-04-29,H001,5,275.85
2023-04-30,H001,5,290.31
2023-05-01,H001,5,296.85
2023-05-02,H001,5,301.61
2023-05-03,H001,5,296.36
2023-05-04,H001,5,294.27
2023-05-05,H001,5,314.2
2023-05-06,H001,5,339.31
2023-05-07,H001,5,296.35
2023-05-08,H001,5,314.26
2023-05-09,H001,5,322.22
2023-05-10,H001,5,310.91
2023-05-11,H001,5,293.37
2023-05-12,H001,5,287.49
2023-05-13,H001,5,333.85
2023-05-14,H001,5,317.47
2023-05-15,H001,5,299.44
2023-05-16,H001,5,294.69
2023-05-17,H001,5,309.36
2023-05-18,H001,5,289.86
2023-05-19,H001,5,289.0
2023-05-20,H001,5,328.05
2023-05-21,H001,5,346.47
2023-05-22,H001,5,294.62
2023-05-23,H001,5,288.42
2023-05-24,H001,5,303.48
2023-05-25,H001,5,301.57
2023-05-26,H001,5,281.29
2023-05-27,H001,5,315.28
2023-05-28,H001,5,334.6
2023-05-29,H001,5,297.11
2023-05-30,H001,5,262.09
2023-05-31,H001,5,297.25
2023-06-01,H001,5,302.33
2023-06-02,H001,5,280.91
2023-06-03,H001,5,327.89
2023-06-04,H001,5,341.94
2023-06-05,H001,5,294.92
2023-06-06,H001,5,282.39
2023-06-07,H001,5,283.36
2023-06-08,H001,5,289.51
2023-06-09,H001,5,293.61
2023-06-10,H001,5,318.44
2023-06-11,H001,5,323.4
2023-06-12,H001,5,286.48
2023-06-13,H001,5,290.13
2023-06-14,H001,5,299.26
2023-06-15,H001,5,274.62
2023-06-16,H001,5,288.41
2023-06-17,H001,5,316.77
2023-06-18,H001,5,326.23
2023-06-19,H001,5,283.52
2023-06-20,H001,5,293.79
2023-06-21,H001,5,298.89
2023-06-22,H001,5,263.17
2023-06-23,H001,5,299.09
2023-06-24,H001,5,301.43
2023-06-25,H001,5,299.8
2023-06-26,H001,5,249.63
2023-06-27,H001,5,274.25
2023-06-28,H001,5,283.53
2023-06-29,H001,5,278.69
2023-06-30,H001,5,277.45
2023-07-01,H001,5,297.62
2023-07-02,H001,5,321.05
2023-07-03,H001,5,293.6
2023-07-04,H001,5,286.82
2023-07-05,H001,5,258.87
2023-07-06,H001,5,308.49
2023-07-07,H001,5,282.68
2023-07-08,H001,5,315.16
2023-07-09,H001,5,290.38
2023-07-10,H001,5,279.89
2023-07-11,H001,5,284.7
2023-07-12,H001,5,277.75
2023-07-13,H001,5,289.62
2023-07-14,H001,5,294.46
2023-07-15,H001,5,290.3
2023-07-16,H001,5,316.31
2023-07-17,H001,5,282.72
2023-07-18,H001,5,277.65
2023-07-19,H001,5,258.57
2023-07-20,H001,5,294.9
2023-07-21,H001,5,281.62
2023-07-22,H001,5,282.83
2023-07-23,H001,5,301.01
2023-07-24,H001,5,279.95
2023-07-25,H001,5,281.82
2023-07-26,H001,5,273.94
2023-07-27,H001,5,279.3
2023-07-28,H001,5,300.36
2023-07-29,H001,5,320.69
2023-07-30,H001,5,290.45
2023-07-31,H001,5,266.98
2023-08-01,H001,5,272.55
2023-08-02,H001,5,252.64
2023-08-03,H001,5,257.28
2023-08-04,H001,5,253.66
2023-08-05,H001,5,286.39
2023-08-06,H001,5,316.57
2023-08-07,H001,5,262.13
2023-08-08,H001,5,259.82
2023-08-09,H001,5,282.51
2023-08-10,H001,5,266.29
2023-08-11,H001,5,276.47
2023-08-12,H001,5,289.61
2023-08-13,H001,5,276.48
2023-08-14,H001,5,276.39
2023-08-15,H001,5,251.95
2023-08-16,H001,5,264.23
2023-08-17,H001,5,261.35
2023-08-18,H001,5,272.28
2023-08-19,H001,5,290.04
2023-08-20,H001,5,294.96
2023-08-21,H001,5,250.62
2023-08-22,H001,5,293.16
2023-08-23,H001,5,254.57
2023-08-24,H001,5,283.2
2023-08-25,H001,5,270.41
2023-08-26,H001,5,296.97
2023-08-27,H001,5,299.34
2023-08-28,H001,5,245.53
2023-08-29,H001,5,279.53
2023-08-30,H001,5,261.65
2023-08-31,H001,5,282.15
2023-09-01,H001,5,265.67
2023-09-02,H001,5,289.58
2023-09-03,H001,5,278.42
2023-09-04,H001,5,257.88
2023-09-05,H001,5,272.0
2023-09-06,H001,5,251.11
2023-09-07,H001,5,242.8
2023-09-08,H001,5,256.28
2023-09-09,H001,5,303.19
2023-09-10,H001,5,314.36
2023-09-11,H001,5,258.12
2023-09-12,H001,5,247.57
2023-09-13,H001,5,261.95
2023-09-14,H001,5,268.18
2023-09-15,H001,5,272.83
2023-09-16,H001,5,318.01
2023-09-17,H001,5,295.04
2023-09-18,H001,5,285.54
2023-09-19,H001,5,260.06
2023-09-20,H001,5,266.6
2023-09-21,H001,5,258.39
2023-09-22,H001,5,257.3
2023-09-23,H001,5,288.8
2023-09-24,H001,5,288.55
2023-09-25,H001,5,258.1
2023-09-26,H001,5,258.73
2023-09-27,H001,5,278.46
2023-09-28,H001,5,290.64
2023-09-29,H001,5,259.29
2023-09-30,H001,5,287.9
2023-10-01,H001,5,260.02
2023-10-02,H001,5,268.91
2023-10-03,H001,5,231.68
2023-10-04,H001,5,242.36
2023-10-05,H001,5,249.24
2023-10-06,H001,5,234.85
2023-10-07,H001,5,264.94
2023-10-08,H001,5,261.15
2023-10-09,H001,5,243.2
2023-10-10,H001,5,218.44
2023-10-11,H001,5,233.35
2023-10-12,H001,5,236.72
2023-10-13,H001,5,236.6
2023-10-14,H001,5,267.8
2023-10-15,H001,5,259.59
2023-10-16,H001,5,217.44
2023-10-17,H001,5,238.34
2023-10-18,H001,5,220.72
2023-10-19,H001,5,223.01
2023-10-20,H001,5,226.46
2023-10-21,H001,5,253.39
2023-10-22,H001,5,236.3
2023-10-23,H001,5,245.15
2023-10-24,H001,5,217.98
2023-10-25,H001,5,250.79
2023-10-26,H001,5,218.56
2023-10-27,H001,5,247.55
2023-10-28,H001,5,255.17
2023-10-29,H001,5,235.05
2023-10-30,H001,5,220.01
2023-10-31,H001,5,248.57
2023-11-01,H001,5,238.17
2023-11-02,H001,5,231.98
2023-11-03,H001,5,206.46
2023-11-04,H001,5,273.2
2023-11-05,H001,5,279.13
2023-11-06,H001,5,253.75
2023-11-07,H001,5,226.27
2023-11-08,H001,5,238.4
